Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,AS-BL1,Ethernet1,spine,AS-SPINE1,Ethernet5,True
l3leaf,AS-BL1,Ethernet2,spine,AS-SPINE2,Ethernet5,True
l3leaf,AS-BL1,Ethernet3,mlag_peer,AS-BL2,Ethernet3,True
l3leaf,AS-BL1,Ethernet4,mlag_peer,AS-BL2,Ethernet4,True
l3leaf,AS-BL1,Ethernet5,network_port,To DCI Switches,,True
l3leaf,AS-BL2,Ethernet1,spine,AS-SPINE1,Ethernet6,True
l3leaf,AS-BL2,Ethernet2,spine,AS-SPINE2,Ethernet6,True
l3leaf,AS-BL2,Ethernet3,mlag_peer,AS-BL1,Ethernet3,True
l3leaf,AS-BL2,Ethernet4,mlag_peer,AS-BL1,Ethernet4,True
l3leaf,AS-BL2,Ethernet5,network_port,To DCI Switches,,True
l3leaf,AS-LEAF1,Ethernet1,spine,AS-SPINE1,Ethernet1,True
l3leaf,AS-LEAF1,Ethernet2,spine,AS-SPINE2,Ethernet1,True
l3leaf,AS-LEAF1,Ethernet3,mlag_peer,AS-LEAF2,Ethernet3,True
l3leaf,AS-LEAF1,Ethernet4,mlag_peer,AS-LEAF2,Ethernet4,True
l3leaf,AS-LEAF1,Ethernet6,server,endpoint35,Eth0/1,True
l3leaf,AS-LEAF2,Ethernet1,spine,AS-SPINE1,Ethernet2,True
l3leaf,AS-LEAF2,Ethernet2,spine,AS-SPINE2,Ethernet2,True
l3leaf,AS-LEAF2,Ethernet3,mlag_peer,AS-LEAF1,Ethernet3,True
l3leaf,AS-LEAF2,Ethernet4,mlag_peer,AS-LEAF1,Ethernet4,True
l3leaf,AS-LEAF2,Ethernet6,server,endpoint36,Eth0/1,True
l3leaf,AS-LEAF3,Ethernet1,spine,AS-SPINE1,Ethernet3,True
l3leaf,AS-LEAF3,Ethernet2,spine,AS-SPINE2,Ethernet3,True
l3leaf,AS-LEAF3,Ethernet3,mlag_peer,AS-LEAF4,Ethernet3,True
l3leaf,AS-LEAF3,Ethernet4,mlag_peer,AS-LEAF4,Ethernet4,True
l3leaf,AS-LEAF3,Ethernet6,server,endpoint37,Eth0/1,True
l3leaf,AS-LEAF4,Ethernet1,spine,AS-SPINE1,Ethernet4,True
l3leaf,AS-LEAF4,Ethernet2,spine,AS-SPINE2,Ethernet4,True
l3leaf,AS-LEAF4,Ethernet3,mlag_peer,AS-LEAF3,Ethernet3,True
l3leaf,AS-LEAF4,Ethernet4,mlag_peer,AS-LEAF3,Ethernet4,True
l3leaf,AS-LEAF4,Ethernet6,server,endpoint38,Eth0/1,True
spine,AS-SPINE1,Ethernet1,l3leaf,AS-LEAF1,Ethernet1,True
spine,AS-SPINE1,Ethernet2,l3leaf,AS-LEAF2,Ethernet1,True
spine,AS-SPINE1,Ethernet3,l3leaf,AS-LEAF3,Ethernet1,True
spine,AS-SPINE1,Ethernet4,l3leaf,AS-LEAF4,Ethernet1,True
spine,AS-SPINE1,Ethernet5,l3leaf,AS-BL1,Ethernet1,True
spine,AS-SPINE1,Ethernet6,l3leaf,AS-BL2,Ethernet1,True
spine,AS-SPINE2,Ethernet1,l3leaf,AS-LEAF1,Ethernet2,True
spine,AS-SPINE2,Ethernet2,l3leaf,AS-LEAF2,Ethernet2,True
spine,AS-SPINE2,Ethernet3,l3leaf,AS-LEAF3,Ethernet2,True
spine,AS-SPINE2,Ethernet4,l3leaf,AS-LEAF4,Ethernet2,True
spine,AS-SPINE2,Ethernet5,l3leaf,AS-BL1,Ethernet2,True
spine,AS-SPINE2,Ethernet6,l3leaf,AS-BL2,Ethernet2,True
l3leaf,SJ-BL1,Ethernet1,spine,SJ-SPINE1,Ethernet5,True
l3leaf,SJ-BL1,Ethernet2,spine,SJ-SPINE2,Ethernet5,True
l3leaf,SJ-BL1,Ethernet3,mlag_peer,SJ-BL2,Ethernet3,True
l3leaf,SJ-BL1,Ethernet4,mlag_peer,SJ-BL2,Ethernet4,True
l3leaf,SJ-BL1,Ethernet5,network_port,To DCI Switches,,True
l3leaf,SJ-BL2,Ethernet1,spine,SJ-SPINE1,Ethernet6,True
l3leaf,SJ-BL2,Ethernet2,spine,SJ-SPINE2,Ethernet6,True
l3leaf,SJ-BL2,Ethernet3,mlag_peer,SJ-BL1,Ethernet3,True
l3leaf,SJ-BL2,Ethernet4,mlag_peer,SJ-BL1,Ethernet4,True
l3leaf,SJ-BL2,Ethernet5,network_port,To DCI Switches,,True
l3leaf,SJ-LEAF1,Ethernet1,spine,SJ-SPINE1,Ethernet1,True
l3leaf,SJ-LEAF1,Ethernet2,spine,SJ-SPINE2,Ethernet1,True
l3leaf,SJ-LEAF1,Ethernet3,mlag_peer,SJ-LEAF2,Ethernet3,True
l3leaf,SJ-LEAF1,Ethernet4,mlag_peer,SJ-LEAF2,Ethernet4,True
l3leaf,SJ-LEAF1,Ethernet6,server,endpoint30,Eth0/0,True
l3leaf,SJ-LEAF2,Ethernet1,spine,SJ-SPINE1,Ethernet2,True
l3leaf,SJ-LEAF2,Ethernet2,spine,SJ-SPINE2,Ethernet2,True
l3leaf,SJ-LEAF2,Ethernet3,mlag_peer,SJ-LEAF1,Ethernet3,True
l3leaf,SJ-LEAF2,Ethernet4,mlag_peer,SJ-LEAF1,Ethernet4,True
l3leaf,SJ-LEAF2,Ethernet6,server,endpoint31,Eth0/0,True
l3leaf,SJ-LEAF3,Ethernet1,spine,SJ-SPINE1,Ethernet3,True
l3leaf,SJ-LEAF3,Ethernet2,spine,SJ-SPINE2,Ethernet3,True
l3leaf,SJ-LEAF3,Ethernet3,mlag_peer,SJ-LEAF4,Ethernet3,True
l3leaf,SJ-LEAF3,Ethernet4,mlag_peer,SJ-LEAF4,Ethernet4,True
l3leaf,SJ-LEAF3,Ethernet6,server,endpoint32,Eth0/0,True
l3leaf,SJ-LEAF4,Ethernet1,spine,SJ-SPINE1,Ethernet4,True
l3leaf,SJ-LEAF4,Ethernet2,spine,SJ-SPINE2,Ethernet4,True
l3leaf,SJ-LEAF4,Ethernet3,mlag_peer,SJ-LEAF3,Ethernet3,True
l3leaf,SJ-LEAF4,Ethernet4,mlag_peer,SJ-LEAF3,Ethernet4,True
l3leaf,SJ-LEAF4,Ethernet6,server,endpoint34,Eth0/0,True
spine,SJ-SPINE1,Ethernet1,l3leaf,SJ-LEAF1,Ethernet1,True
spine,SJ-SPINE1,Ethernet2,l3leaf,SJ-LEAF2,Ethernet1,True
spine,SJ-SPINE1,Ethernet3,l3leaf,SJ-LEAF3,Ethernet1,True
spine,SJ-SPINE1,Ethernet4,l3leaf,SJ-LEAF4,Ethernet1,True
spine,SJ-SPINE1,Ethernet5,l3leaf,SJ-BL1,Ethernet1,True
spine,SJ-SPINE1,Ethernet6,l3leaf,SJ-BL2,Ethernet1,True
spine,SJ-SPINE2,Ethernet1,l3leaf,SJ-LEAF1,Ethernet2,True
spine,SJ-SPINE2,Ethernet2,l3leaf,SJ-LEAF2,Ethernet2,True
spine,SJ-SPINE2,Ethernet3,l3leaf,SJ-LEAF3,Ethernet2,True
spine,SJ-SPINE2,Ethernet4,l3leaf,SJ-LEAF4,Ethernet2,True
spine,SJ-SPINE2,Ethernet5,l3leaf,SJ-BL1,Ethernet2,True
spine,SJ-SPINE2,Ethernet6,l3leaf,SJ-BL2,Ethernet2,True
